LOCATION,TIME,PC_HEALTHXP,PC_GDP,USD_CAP,FLAG_CODES,TOTAL_SPEND,Log_TOTAL_SPEND,Cluster_GMM,Prob_Cluster_0,Prob_Cluster_1,Prob_Cluster_2,Cluster_Label
CAN,1999,16.199,1.354,375.645,,11456.87,9.346432109119554,0,0.9694109806150899,0.011049986728414986,0.01953903265649504,High Spend
CAN,2000,16.601,1.374,402.054,,12371.08,9.423197599998087,0,0.975521686233991,0.012176100273730589,0.012302213492278318,High Spend
CAN,2001,16.921,1.465,441.311,,13716.78,9.526448080607443,0,0.979679341344942,0.012457659618750604,0.007862999036307355,High Spend
CAN,2002,17.438,1.55,478.226,,14998.12,9.615746811696724,0,0.9811021745582855,0.014624377378967893,0.004273448062746562,High Spend
CAN,2003,17.845,1.614,519.989,,16471.17,9.709427569198322,0,0.9812515816117953,0.016239236695396536,0.002509181692808065,High Spend
CAN,2004,17.992,1.637,553.47,,17708.27,9.78184351027741,0,0.9820320278866999,0.016036452598267262,0.0019315195150328935,High Spend
CAN,2005,18.058,1.637,592.738,,19152.55,9.860243356018383,0,0.9834326711386416,0.014981757236456863,0.001585571624901305,High Spend
CAN,2006,18.251,1.68,638.701,,20802.81,9.942891421992194,0,0.9837968114464468,0.01505912984445358,0.0011440587090995407,High Spend
CAN,2007,18.052,1.679,662.072,,21774.18,9.988526068047042,0,0.9862120469634973,0.012510142813049649,0.0012778102234532948,High Spend
CAN,2008,17.828,1.687,679.645,,22595.32,10.025542340143424,0,0.9881546105226973,0.01036393273247032,0.0014814567448324114,High Spend
CAN,2009,17.824,1.885,731.121,,24586.55,10.109995496248882,0,0.9895235291103437,0.009189846818417953,0.0012866240712384298,High Spend
CAN,2010,18.471,1.951,780.901,B,26554.75,10.187001575726354,0,0.9869828792154937,0.012411994898211204,0.0006051258862953479,High Spend
CAN,2011,18.32,1.872,778.209,,26725.86,10.193424331226346,0,0.9881388173177401,0.011168026539288736,0.000693156142971328,High Spend
CAN,2012,17.883,1.828,770.464,,26774.04,10.195225389245739,0,0.9904868860695643,0.00846179416170008,0.001051319768735436,High Spend
CAN,2013,17.575,1.778,783.949,,27560.08,10.224159911587662,0,0.9919368840862876,0.006724587096375397,0.0013385288173368242,High Spend
CAN,2014,17.453,1.743,785.811,,27931.31,10.237539362286123,0,0.9924051294647791,0.006128059181352195,0.001466811353868768,High Spend
CZE,1990,24.212,0.908,114.502,,1183.19,7.076814275542514,1,0.030348751164674323,0.9696239644788693,2.728435645609346e-05,Medium Spend
CZE,1991,21.496,0.836,96.461,,994.38,6.9031245737974425,1,0.1421203348178598,0.8552690557193494,0.0026106094627906654,Medium Spend
CZE,1992,24.69,0.99,116.212,,1199.21,7.090251820465378,1,0.021512340772445633,0.9784762574181991,1.1401809355105776e-05,Medium Spend
CZE,1993,22.358,1.201,144.243,,1490.01,7.307209021650363,1,0.13298546763135244,0.8665445396208092,0.00046999274783831295,Medium Spend
CZE,1994,28.254,1.564,197.307,,2038.89,7.620651163815815,1,0.0015759219797551996,0.9984240737303219,4.289922783694487e-09,Medium Spend
CZE,1995,28.28,1.629,222.953,,2302.49,7.742180643146666,1,0.0017023149554195526,0.9982976816802976,3.3642829372429137e-09,Medium Spend
CZE,1996,27.665,1.56,226.75,,2338.98,7.757897661306674,1,0.0031329352045135757,0.9968670521739653,1.2621520883230146e-08,Medium Spend
CZE,1997,27.252,1.539,225.909,,2327.8,7.753108392431414,1,0.004607772731235682,0.9953921964798973,3.0788867224991796e-08,Medium Spend
CZE,1998,25.085,1.412,209.924,,2161.04,7.678807499415609,1,0.028468886342737428,0.9715284236959222,2.6899613405516747e-06,Medium Spend
